Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DEMO3,Firefox 62.0,,2018-07-24 15:04:44,2018-07-24 15:05:31,47.523s,PASSED
,,,,,,
Test Cases/DEMO3,Firefox 62.0,,2018-07-24 15:04:45,2018-07-24 15:05:31,46.371s,PASSED
openBrowser,Firefox 62.0,,2018-07-24 15:04:51,2018-07-24 15:05:18,27.195s,PASSED
navigateToUrl,Firefox 62.0,,2018-07-24 15:05:18,2018-07-24 15:05:20,2.085s,PASSED
click,Firefox 62.0,,2018-07-24 15:05:20,2018-07-24 15:05:21,1.341s,PASSED
setText,Firefox 62.0,,2018-07-24 15:05:21,2018-07-24 15:05:22,0.419s,PASSED
setEncryptedText,Firefox 62.0,,2018-07-24 15:05:22,2018-07-24 15:05:25,3.134s,PASSED
click,Firefox 62.0,,2018-07-24 15:05:25,2018-07-24 15:05:27,1.651s,PASSED
closeBrowser,Firefox 62.0,,2018-07-24 15:05:27,2018-07-24 15:05:29,2.342s,PASSED
