Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
orangeTestSuit,Firefox 62.0,,2018-07-24 15:29:48,2018-07-24 15:30:07,18.639s,PASSED
,,,,,,
Test Cases/LOGIN/Test Login,Firefox 62.0,,2018-07-24 15:29:48,2018-07-24 15:30:04,15.809s,PASSED
openBrowser,Firefox 62.0,,2018-07-24 15:29:49,2018-07-24 15:29:53,4.669s,PASSED
navigateToUrl,Firefox 62.0,,2018-07-24 15:29:53,2018-07-24 15:29:59,5.434s,PASSED
click,Firefox 62.0,,2018-07-24 15:29:59,2018-07-24 15:29:59,0.328s,PASSED
setText,Firefox 62.0,,2018-07-24 15:29:59,2018-07-24 15:29:59,0.073s,PASSED
setEncryptedText,Firefox 62.0,,2018-07-24 15:29:59,2018-07-24 15:30:00,0.195s,PASSED
click,Firefox 62.0,,2018-07-24 15:30:00,2018-07-24 15:30:02,2.697s,PASSED
,,,,,,
Test Cases/LOGIN/ValidateLinks,Firefox 62.0,,2018-07-24 15:30:04,2018-07-24 15:30:07,2.598s,PASSED
verifyElementPresent,Firefox 62.0,,2018-07-24 15:30:04,2018-07-24 15:30:04,0.037s,PASSED
verifyElementPresent,Firefox 62.0,,2018-07-24 15:30:04,2018-07-24 15:30:04,0.027s,PASSED
verifyElementPresent,Firefox 62.0,,2018-07-24 15:30:04,2018-07-24 15:30:04,0.019s,PASSED
verifyElementPresent,Firefox 62.0,,2018-07-24 15:30:04,2018-07-24 15:30:04,0.020s,PASSED
verifyElementPresent,Firefox 62.0,,2018-07-24 15:30:04,2018-07-24 15:30:04,0.015s,PASSED
verifyElementPresent,Firefox 62.0,,2018-07-24 15:30:04,2018-07-24 15:30:04,0.022s,PASSED
closeBrowser,Firefox 62.0,,2018-07-24 15:30:04,2018-07-24 15:30:05,0.359s,PASSED
